,date_start,year,no_of_events
521,2005-01-03,6015,3
522,2005-01-04,8020,4
523,2005-01-05,6015,3
524,2005-01-08,4010,2
525,2005-01-10,6015,3
526,2005-01-11,2005,1
527,2005-01-13,4010,2
528,2005-01-16,2005,1
529,2005-01-17,2005,1
530,2005-01-19,14035,7
531,2005-01-20,6015,3
532,2005-01-21,6015,3
533,2005-01-22,4010,2
534,2005-01-23,6015,3
535,2005-01-24,4010,2
536,2005-01-25,2005,1
537,2005-01-26,2005,1
538,2005-01-27,8020,4
539,2005-01-29,4010,2
540,2005-01-30,20050,10
541,2005-02-03,8020,4
542,2005-02-05,2005,1
543,2005-02-06,4010,2
544,2005-02-07,8020,4
545,2005-02-08,2005,1
546,2005-02-10,2005,1
547,2005-02-11,8020,4
548,2005-02-12,2005,1
549,2005-02-13,6015,3
550,2005-02-14,2005,1
551,2005-02-16,6015,3
552,2005-02-17,6015,3
553,2005-02-18,2005,1
554,2005-02-19,4010,2
555,2005-02-21,6015,3
556,2005-02-23,4010,2
557,2005-02-24,6015,3
558,2005-02-25,2005,1
559,2005-02-26,4010,2
560,2005-02-27,4010,2
561,2005-02-28,4010,2
562,2005-03-02,10025,5
563,2005-03-03,4010,2
564,2005-03-07,6015,3
565,2005-03-08,2005,1
566,2005-03-09,2005,1
567,2005-03-10,4010,2
568,2005-03-11,4010,2
569,2005-03-12,2005,1
570,2005-03-14,4010,2
571,2005-03-15,2005,1
572,2005-03-16,2005,1
573,2005-03-17,2005,1
574,2005-03-20,4010,2
575,2005-03-22,2005,1
576,2005-03-25,4010,2
577,2005-03-26,2005,1
578,2005-03-27,2005,1
579,2005-03-28,2005,1
580,2005-03-29,4010,2
581,2005-03-30,4010,2
582,2005-03-31,4010,2
583,2005-04-02,4010,2
584,2005-04-05,4010,2
585,2005-04-06,2005,1
586,2005-04-07,2005,1
587,2005-04-09,2005,1
588,2005-04-10,4010,2
589,2005-04-11,4010,2
590,2005-04-12,6015,3
591,2005-04-13,2005,1
592,2005-04-14,4010,2
593,2005-04-15,4010,2
594,2005-04-16,4010,2
595,2005-04-19,4010,2
596,2005-04-20,4010,2
597,2005-04-21,4010,2
598,2005-04-22,2005,1
599,2005-04-23,6015,3
600,2005-04-24,2005,1
601,2005-04-25,2005,1
602,2005-04-27,2005,1
603,2005-04-28,2005,1
604,2005-04-29,14035,7
605,2005-04-30,2005,1
606,2005-05-01,6015,3
607,2005-05-02,6015,3
608,2005-05-03,4010,2
609,2005-05-04,2005,1
610,2005-05-05,8020,4
611,2005-05-06,4010,2
612,2005-05-07,4010,2
613,2005-05-08,6015,3
614,2005-05-09,4010,2
615,2005-05-10,2005,1
616,2005-05-11,8020,4
617,2005-05-13,2005,1
618,2005-05-14,2005,1
619,2005-05-15,2005,1
620,2005-05-17,6015,3
621,2005-05-18,4010,2
622,2005-05-19,4010,2
623,2005-05-20,2005,1
624,2005-05-22,2005,1
625,2005-05-23,10025,5
626,2005-05-25,10025,5
627,2005-05-26,10025,5
628,2005-05-27,2005,1
629,2005-05-28,10025,5
630,2005-05-29,6015,3
631,2005-05-30,4010,2
632,2005-05-31,6015,3
633,2005-06-01,4010,2
634,2005-06-02,8020,4
635,2005-06-04,2005,1
636,2005-06-05,2005,1
637,2005-06-06,4010,2
638,2005-06-08,2005,1
639,2005-06-10,2005,1
640,2005-06-11,6015,3
641,2005-06-13,6015,3
642,2005-06-14,4010,2
643,2005-06-15,2005,1
644,2005-06-16,6015,3
645,2005-06-17,2005,1
646,2005-06-18,4010,2
647,2005-06-19,6015,3
648,2005-06-20,8020,4
649,2005-06-22,2005,1
650,2005-06-23,6015,3
651,2005-06-25,4010,2
652,2005-06-26,8020,4
653,2005-06-28,2005,1
654,2005-06-29,8020,4
655,2005-07-01,2005,1
656,2005-07-02,10025,5
657,2005-07-04,2005,1
658,2005-07-06,4010,2
659,2005-07-07,2005,1
660,2005-07-10,10025,5
661,2005-07-11,6015,3
662,2005-07-12,2005,1
663,2005-07-14,2005,1
664,2005-07-15,10025,5
665,2005-07-16,4010,2
666,2005-07-17,6015,3
667,2005-07-18,2005,1
668,2005-07-20,4010,2
669,2005-07-26,2005,1
670,2005-07-27,4010,2
671,2005-07-28,2005,1
672,2005-07-29,4010,2
673,2005-08-01,6015,3
674,2005-08-03,2005,1
675,2005-08-04,2005,1
676,2005-08-05,2005,1
677,2005-08-09,6015,3
678,2005-08-11,2005,1
679,2005-08-12,4010,2
680,2005-08-15,2005,1
681,2005-08-26,2005,1
682,2005-08-27,2005,1
683,2005-08-28,2005,1
684,2005-08-30,4010,2
685,2005-08-31,2005,1
686,2005-09-01,2005,1
687,2005-09-02,4010,2
688,2005-09-04,4010,2
689,2005-09-05,6015,3
690,2005-09-06,4010,2
691,2005-09-07,4010,2
692,2005-09-08,2005,1
693,2005-09-09,2005,1
694,2005-09-11,2005,1
695,2005-09-13,4010,2
696,2005-09-14,10025,5
697,2005-09-15,6015,3
698,2005-09-16,2005,1
699,2005-09-17,2005,1
700,2005-09-19,6015,3
701,2005-09-20,6015,3
702,2005-09-21,2005,1
703,2005-09-22,4010,2
704,2005-09-23,4010,2
705,2005-09-24,2005,1
706,2005-09-25,4010,2
707,2005-09-26,2005,1
708,2005-09-27,4010,2
709,2005-09-28,2005,1
710,2005-09-29,2005,1
711,2005-09-30,2005,1
712,2005-10-01,6015,3
713,2005-10-02,2005,1
714,2005-10-03,6015,3
715,2005-10-04,2005,1
716,2005-10-05,6015,3
717,2005-10-06,6015,3
718,2005-10-08,2005,1
719,2005-10-09,2005,1
720,2005-10-11,2005,1
721,2005-10-12,2005,1
722,2005-10-13,4010,2
723,2005-10-15,4010,2
724,2005-10-16,2005,1
725,2005-10-17,8020,4
726,2005-10-19,2005,1
727,2005-10-20,8020,4
728,2005-10-22,4010,2
729,2005-10-23,2005,1
730,2005-10-24,4010,2
731,2005-10-25,6015,3
732,2005-10-26,2005,1
733,2005-10-28,2005,1
734,2005-10-29,2005,1
735,2005-10-30,4010,2
736,2005-10-31,2005,1
737,2005-11-01,2005,1
738,2005-11-02,6015,3
739,2005-11-03,2005,1
740,2005-11-04,2005,1
741,2005-11-05,2005,1
742,2005-11-06,2005,1
743,2005-11-07,2005,1
744,2005-11-08,4010,2
745,2005-11-09,2005,1
746,2005-11-10,8020,4
747,2005-11-14,8020,4
748,2005-11-16,8020,4
749,2005-11-17,2005,1
750,2005-11-19,4010,2
751,2005-11-21,4010,2
752,2005-11-22,2005,1
753,2005-11-23,4010,2
754,2005-11-25,4010,2
755,2005-11-26,2005,1
756,2005-11-30,2005,1
757,2005-12-01,2005,1
758,2005-12-02,2005,1
759,2005-12-06,4010,2
760,2005-12-07,2005,1
761,2005-12-08,2005,1
762,2005-12-12,2005,1
763,2005-12-14,2005,1
764,2005-12-15,4010,2
765,2005-12-17,2005,1
766,2005-12-22,2005,1
767,2005-12-23,2005,1
768,2005-12-25,4010,2
769,2005-12-26,4010,2
