,date_start,year,no_of_events
494,2001-12-21,2001,1
495,2001-12-28,2001,1
496,2001-12-30,2001,1
497,2002-01-04,2002,1
498,2002-01-06,2002,1
499,2002-01-07,2002,1
500,2002-01-11,2002,1
501,2002-01-23,2002,1
502,2002-01-29,2002,1
503,2002-01-30,2002,1
504,2002-02-02,2002,1
505,2002-02-04,2002,1
506,2002-02-25,2002,1
507,2002-03-02,2002,1
508,2002-03-04,2002,1
509,2002-03-05,2002,1
510,2002-03-07,2002,1
511,2002-03-14,2002,1
512,2002-03-17,2002,1
513,2002-03-19,2002,1
514,2002-03-25,2002,1
515,2002-04-18,2002,1
516,2002-05-01,2002,1
517,2002-05-06,2002,1
518,2002-05-12,2002,1
519,2002-05-19,2002,1
520,2002-05-22,2002,1
521,2002-05-23,2002,1
522,2002-05-24,2002,1
523,2002-05-31,2002,1
524,2002-06-17,2002,1
525,2002-06-21,2002,1
526,2002-07-01,2002,1
527,2002-07-14,2002,1
528,2002-07-22,2002,1
529,2002-07-27,2002,1
530,2002-07-30,2002,1
531,2002-08-05,2002,1
532,2002-08-07,2002,1
533,2002-08-10,2002,1
534,2002-09-03,2002,1
535,2002-09-05,2002,1
536,2002-09-14,2002,1
537,2002-09-26,2002,1
538,2002-10-01,2002,1
539,2002-10-02,2002,1
540,2002-10-04,2002,1
541,2002-10-07,2002,1
542,2002-10-23,2002,1
543,2002-11-01,2002,1
544,2002-11-08,2002,1
545,2002-11-18,2002,1
546,2002-12-21,2002,1
547,2003-01-26,2003,1
548,2003-01-27,2003,1
549,2003-01-29,2003,1
550,2003-01-31,2003,1
551,2003-02-01,2003,1
552,2003-02-04,2003,1
553,2003-02-07,2003,1
554,2003-02-10,2003,1
555,2003-02-22,2003,1
556,2003-02-23,2003,1
557,2003-02-25,2003,1
558,2003-03-05,2003,1
559,2003-03-19,2003,1
560,2003-03-21,2003,1
561,2003-03-24,2003,1
562,2003-03-27,2003,1
563,2003-03-31,2003,1
564,2003-04-01,2003,1
565,2003-04-04,2003,1
566,2003-04-13,2003,1
567,2003-04-16,2003,1
568,2003-04-20,2003,1
569,2003-04-24,2003,1
570,2003-04-25,2003,1
571,2003-04-26,2003,1
572,2003-04-28,2003,1
573,2003-05-06,2003,1
574,2003-05-07,2003,1
575,2003-05-09,2003,1
576,2003-05-27,2003,1
577,2003-06-02,2003,1
578,2003-06-05,2003,1
579,2003-06-12,2003,1
580,2003-06-18,2003,1
581,2003-06-28,2003,1
582,2003-07-02,2003,1
583,2003-07-03,2003,1
584,2003-07-04,2003,1
585,2003-07-06,2003,1
586,2003-07-14,2003,1
587,2003-07-18,2003,1
588,2003-07-20,2003,1
589,2003-07-27,2003,1
590,2003-07-30,2003,1
591,2003-08-01,2003,1
592,2003-08-05,2003,1
593,2003-08-09,2003,1
594,2003-08-18,2003,1
595,2003-08-22,2003,1
596,2003-08-26,2003,1
597,2003-08-27,2003,1
598,2003-08-28,2003,1
599,2003-08-30,2003,1
600,2003-09-06,2003,1
601,2003-09-07,2003,1
602,2003-09-08,2003,1
603,2003-09-13,2003,1
604,2003-09-14,2003,1
605,2003-09-17,2003,1
606,2003-09-18,2003,1
607,2003-09-24,2003,1
608,2003-09-26,2003,1
609,2003-09-28,2003,1
610,2003-09-29,2003,1
611,2003-10-01,2003,1
612,2003-10-03,2003,1
613,2003-10-04,2003,1
614,2003-10-13,2003,1
615,2003-10-14,2003,1
616,2003-10-17,2003,1
617,2003-10-18,2003,1
618,2003-10-25,2003,1
619,2003-10-26,2003,1
620,2003-10-30,2003,1
621,2003-11-07,2003,1
622,2003-11-11,2003,1
623,2003-11-18,2003,1
624,2003-11-19,2003,1
625,2003-11-27,2003,1
626,2003-12-01,2003,1
627,2003-12-04,2003,1
628,2003-12-05,2003,1
629,2003-12-06,2003,1
630,2003-12-08,2003,1
631,2003-12-11,2003,1
632,2003-12-15,2003,1
633,2003-12-18,2003,1
634,2003-12-27,2003,1
635,2003-12-28,2003,1
636,2003-12-29,2003,1
637,2004-01-05,2004,1
638,2004-01-06,2004,1
639,2004-01-12,2004,1
640,2004-01-14,2004,1
641,2004-01-15,2004,1
642,2004-01-17,2004,1
643,2004-01-20,2004,1
644,2004-01-31,2004,1
645,2004-02-03,2004,1
646,2004-02-05,2004,1
647,2004-02-11,2004,1
648,2004-02-13,2004,1
649,2004-02-14,2004,1
650,2004-02-16,2004,1
651,2004-02-17,2004,1
652,2004-02-18,2004,1
653,2004-02-22,2004,1
654,2004-03-04,2004,1
655,2004-03-05,2004,1
656,2004-03-06,2004,1
657,2004-03-07,2004,1
658,2004-03-12,2004,1
659,2004-03-15,2004,1
660,2004-03-28,2004,1
661,2004-04-03,2004,1
662,2004-04-07,2004,1
663,2004-04-08,2004,1
664,2004-04-10,2004,1
665,2004-04-16,2004,1
666,2004-04-21,2004,1
667,2004-04-26,2004,1
668,2004-04-27,2004,1
669,2004-04-28,2004,1
670,2004-05-01,2004,1
671,2004-05-02,2004,1
672,2004-05-04,2004,1
673,2004-05-06,2004,1
674,2004-05-10,2004,1
675,2004-05-12,2004,1
676,2004-05-13,2004,1
677,2004-05-15,2004,1
678,2004-05-22,2004,1
679,2004-05-23,2004,1
680,2004-05-24,2004,1
681,2004-05-25,2004,1
682,2004-05-29,2004,1
683,2004-05-30,2004,1
684,2004-06-04,2004,1
685,2004-06-11,2004,1
686,2004-06-15,2004,1
687,2004-06-17,2004,1
688,2004-06-22,2004,1
689,2004-06-23,2004,1
690,2004-06-24,2004,1
691,2004-06-25,2004,1
692,2004-06-26,2004,1
693,2004-06-27,2004,1
694,2004-07-07,2004,1
695,2004-07-09,2004,1
696,2004-07-10,2004,1
697,2004-07-16,2004,1
698,2004-07-18,2004,1
699,2004-07-19,2004,1
700,2004-07-21,2004,1
701,2004-07-24,2004,1
702,2004-07-26,2004,1
703,2004-07-27,2004,1
704,2004-07-28,2004,1
705,2004-07-29,2004,1
706,2004-07-31,2004,1
707,2004-08-02,2004,1
708,2004-08-04,2004,1
709,2004-08-05,2004,1
710,2004-08-06,2004,1
711,2004-08-07,2004,1
712,2004-08-08,2004,1
713,2004-08-12,2004,1
714,2004-08-19,2004,1
715,2004-08-20,2004,1
716,2004-08-21,2004,1
717,2004-08-29,2004,1
718,2004-09-03,2004,1
719,2004-09-04,2004,1
720,2004-09-05,2004,1
721,2004-09-06,2004,1
722,2004-09-08,2004,1
723,2004-09-09,2004,1
724,2004-09-11,2004,1
725,2004-09-12,2004,1
726,2004-09-13,2004,1
727,2004-09-22,2004,1
728,2004-09-23,2004,1
729,2004-09-24,2004,1
730,2004-09-28,2004,1
731,2004-10-03,2004,1
732,2004-10-07,2004,1
733,2004-10-09,2004,1
734,2004-10-14,2004,1
735,2004-10-15,2004,1
736,2004-10-18,2004,1
737,2004-10-20,2004,1
738,2004-10-21,2004,1
739,2004-10-23,2004,1
740,2004-11-08,2004,1
741,2004-11-09,2004,1
742,2004-11-17,2004,1
743,2004-11-19,2004,1
744,2004-11-20,2004,1
745,2004-11-22,2004,1
746,2004-11-23,2004,1
747,2004-11-28,2004,1
748,2004-12-01,2004,1
749,2004-12-09,2004,1
750,2004-12-14,2004,1
751,2004-12-15,2004,1
752,2005-01-02,2005,1
753,2005-01-06,2005,1
754,2005-01-12,2005,1
755,2005-01-13,2005,1
756,2005-01-19,2005,1
757,2005-01-21,2005,1
758,2005-01-22,2005,1
759,2005-01-23,2005,1
760,2005-01-24,2005,1
761,2005-01-26,2005,1
762,2005-01-30,2005,1
763,2005-01-31,2005,1
764,2005-02-01,2005,1
765,2005-02-21,2005,1
766,2005-02-25,2005,1
767,2005-02-26,2005,1
768,2005-03-02,2005,1
769,2005-03-16,2005,1
770,2005-03-17,2005,1
771,2005-03-21,2005,1
772,2005-03-26,2005,1
773,2005-03-28,2005,1
774,2005-03-29,2005,1
775,2005-03-30,2005,1
776,2005-04-02,2005,1
777,2005-04-03,2005,1
778,2005-04-04,2005,1
779,2005-04-07,2005,1
780,2005-04-11,2005,1
781,2005-04-17,2005,1
782,2005-04-19,2005,1
783,2005-04-21,2005,1
784,2005-04-30,2005,1
785,2005-05-04,2005,1
786,2005-05-08,2005,1
787,2005-05-10,2005,1
788,2005-05-14,2005,1
789,2005-05-16,2005,1
790,2005-05-18,2005,1
791,2005-05-19,2005,1
792,2005-05-27,2005,1
793,2005-05-29,2005,1
794,2005-06-01,2005,1
795,2005-06-04,2005,1
796,2005-06-08,2005,1
797,2005-06-09,2005,1
798,2005-06-10,2005,1
799,2005-06-12,2005,1
800,2005-06-13,2005,1
801,2005-06-20,2005,1
802,2005-06-24,2005,1
803,2005-06-25,2005,1
804,2005-07-03,2005,1
805,2005-07-06,2005,1
806,2005-07-08,2005,1
807,2005-07-09,2005,1
808,2005-07-12,2005,1
809,2005-07-14,2005,1
810,2005-07-20,2005,1
811,2005-07-21,2005,1
812,2005-07-22,2005,1
813,2005-07-24,2005,1
814,2005-07-30,2005,1
815,2005-08-13,2005,1
816,2005-08-15,2005,1
817,2005-08-24,2005,1
818,2005-08-25,2005,1
819,2005-08-29,2005,1
820,2005-08-30,2005,1
821,2005-09-06,2005,1
822,2005-09-09,2005,1
823,2005-09-10,2005,1
824,2005-09-11,2005,1
825,2005-09-12,2005,1
826,2005-09-19,2005,1
827,2005-09-21,2005,1
828,2005-09-23,2005,1
829,2005-09-24,2005,1
830,2005-09-25,2005,1
831,2005-09-27,2005,1
832,2005-09-28,2005,1
833,2005-10-01,2005,1
834,2005-10-03,2005,1
835,2005-10-06,2005,1
836,2005-10-07,2005,1
837,2005-10-08,2005,1
838,2005-10-11,2005,1
839,2005-10-17,2005,1
840,2005-10-21,2005,1
841,2005-10-22,2005,1
842,2005-10-23,2005,1
843,2005-10-26,2005,1
844,2005-10-28,2005,1
845,2005-10-29,2005,1
846,2005-11-01,2005,1
847,2005-11-04,2005,1
848,2005-11-07,2005,1
849,2005-11-08,2005,1
850,2005-11-10,2005,1
851,2005-11-12,2005,1
852,2005-11-14,2005,1
853,2005-11-19,2005,1
854,2005-11-20,2005,1
855,2005-11-24,2005,1
856,2005-11-27,2005,1
857,2005-12-06,2005,1
858,2005-12-08,2005,1
859,2005-12-10,2005,1
860,2005-12-11,2005,1
861,2005-12-14,2005,1
862,2005-12-16,2005,1
863,2005-12-18,2005,1
864,2005-12-19,2005,1
865,2005-12-22,2005,1
866,2005-12-23,2005,1
867,2005-12-28,2005,1
868,2005-12-29,2005,1
