,date_start,year,no_of_events
499,2017-10-31,2017,1
500,2017-11-01,2017,1
501,2017-11-04,2017,1
502,2017-11-05,2017,1
503,2017-11-07,2017,1
504,2017-11-08,2017,1
505,2017-11-15,2017,1
506,2017-11-18,4034,2
507,2017-11-20,2017,1
508,2017-11-23,4034,2
509,2017-11-24,2017,1
510,2017-11-28,2017,1
511,2017-12-02,2017,1
512,2017-12-03,4034,2
513,2017-12-05,2017,1
514,2017-12-07,4034,2
515,2017-12-11,2017,1
516,2017-12-13,2017,1
517,2017-12-18,2017,1
518,2017-12-19,4034,2
519,2017-12-20,4034,2
520,2017-12-21,2017,1
521,2017-12-22,2017,1
522,2017-12-24,2017,1
523,2017-12-26,2017,1
524,2018-01-01,2018,1
525,2018-01-06,2018,1
526,2018-01-08,2018,1
527,2018-01-10,6054,3
528,2018-01-14,2018,1
529,2018-01-17,2018,1
530,2018-01-20,4036,2
531,2018-01-21,2018,1
532,2018-01-22,2018,1
533,2018-01-26,2018,1
534,2018-01-30,2018,1
535,2018-01-31,2018,1
536,2018-02-09,2018,1
537,2018-02-12,2018,1
538,2018-02-15,2018,1
539,2018-02-16,6054,3
540,2018-02-19,2018,1
541,2018-02-20,2018,1
542,2018-02-22,4036,2
543,2018-02-23,2018,1
544,2018-02-25,2018,1
545,2018-03-06,2018,1
546,2018-03-11,2018,1
547,2018-03-12,2018,1
548,2018-03-22,2018,1
549,2018-03-25,4036,2
550,2018-03-26,4036,2
551,2018-04-01,4036,2
552,2018-04-02,2018,1
553,2018-04-06,2018,1
554,2018-04-07,4036,2
555,2018-04-08,2018,1
556,2018-04-12,4036,2
557,2018-04-13,2018,1
558,2018-04-16,4036,2
559,2018-04-20,2018,1
560,2018-04-22,2018,1
561,2018-04-25,2018,1
562,2018-04-28,2018,1
563,2018-04-29,2018,1
564,2018-05-03,2018,1
565,2018-05-11,2018,1
566,2018-05-16,10090,5
567,2018-05-17,4036,2
568,2018-05-18,2018,1
569,2018-05-19,4036,2
570,2018-05-20,2018,1
571,2018-05-21,2018,1
572,2018-05-22,2018,1
573,2018-05-25,2018,1
574,2018-05-26,4036,2
575,2018-05-28,2018,1
576,2018-06-03,2018,1
577,2018-06-05,2018,1
578,2018-06-06,4036,2
579,2018-06-08,2018,1
580,2018-06-12,4036,2
581,2018-06-14,4036,2
582,2018-06-15,2018,1
583,2018-06-25,2018,1
584,2018-06-26,2018,1
585,2018-06-27,2018,1
586,2018-06-29,2018,1
587,2018-07-06,2018,1
588,2018-07-16,2018,1
589,2018-07-17,4036,2
590,2018-07-25,2018,1
591,2018-07-27,2018,1
592,2018-07-28,4036,2
593,2018-07-29,2018,1
594,2018-07-30,2018,1
595,2018-07-31,2018,1
596,2018-08-01,4036,2
597,2018-08-03,2018,1
598,2018-08-07,2018,1
599,2018-08-08,2018,1
600,2018-08-14,4036,2
601,2018-08-15,2018,1
602,2018-08-16,2018,1
603,2018-08-18,4036,2
604,2018-08-20,2018,1
605,2018-08-23,4036,2
606,2018-08-24,4036,2
607,2018-08-26,2018,1
608,2018-09-01,2018,1
609,2018-09-07,2018,1
610,2018-09-10,4036,2
611,2018-09-11,2018,1
612,2018-09-18,4036,2
613,2018-09-22,2018,1
614,2018-09-27,2018,1
615,2018-09-30,4036,2
616,2018-10-02,2018,1
617,2018-10-06,2018,1
618,2018-10-09,2018,1
619,2018-10-10,4036,2
620,2018-10-13,2018,1
621,2018-10-14,2018,1
622,2018-10-15,4036,2
623,2018-10-18,2018,1
624,2018-10-21,2018,1
625,2018-10-23,2018,1
626,2018-10-27,2018,1
627,2018-11-01,4036,2
628,2018-11-08,2018,1
629,2018-11-09,4036,2
630,2018-11-17,2018,1
631,2018-11-23,2018,1
632,2018-12-01,4036,2
633,2018-12-04,2018,1
634,2018-12-13,4036,2
635,2018-12-14,2018,1
636,2018-12-15,2018,1
